property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
house,housing board colony,sector 28,2.1,23333.0,2.0,8.0,3+,4.0,Moderately Old,900.0,0.0,0.0,0.0,0.0,1.0,1.0,38.0,450.0
flat,godrej aria,sector 79,1.0,6653.0,2.0,2.0,2,4.0,Relatively New,1300.0,1.0,0.0,0.0,0.0,0.0,0.0,49.0,751.5
flat,vatika city homes,sector 83,0.75,5660.0,2.0,2.0,2,3.0,Relatively New,1199.0,0.0,0.0,0.0,0.0,0.0,1.0,49.0,662.5
flat,dlf beverly park,sector 25,8.0,15385.0,5.0,5.0,3+,2.0,Old Property,5778.0,1.0,1.0,0.0,1.0,1.0,2.0,26.0,1040.0
flat,capital residences 360,sector 70a,1.64,8300.0,3.0,3.0,3+,4.0,New Property,1950.0,0.0,1.0,0.0,0.0,0.0,0.0,144.0,658.6666666666666
flat,sare homes,sector 92,0.95,4750.0,4.0,3.0,2,17.0,New Property,1983.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,500.0
flat,emaar palm gardens,sector 83,1.8,9474.0,3.0,3.0,3,6.0,Relatively New,1549.0,0.0,1.0,0.0,0.0,0.0,1.0,97.0,633.3333333333334
flat,aipl joy square,sector 63a,0.7,10101.0,1.0,1.0,No,7.0,Under Construction,693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693.0
flat,godrej oasis,sector 88a,1.29,7799.0,3.0,3.0,3,5.0,New Property,1642.0,1.0,0.0,0.0,0.0,1.0,0.0,65.0,551.3333333333334
flat,m3m golfestate,sector 79,1.4,10000.0,2.0,2.0,2,4.0,Relatively New,1556.0,1.0,1.0,1.0,0.0,0.0,2.0,83.0,700.0
flat,bestech park view residency,sector 2,1.51,7869.0,3.0,4.0,3+,7.0,Moderately Old,1738.0,0.0,1.0,0.0,0.0,0.0,1.0,84.0,639.6666666666666
flat,emaar palm gardens,sector 83,1.8,9474.0,3.0,4.0,3,4.0,Relatively New,1551.0,1.0,1.0,1.0,1.0,0.0,1.0,174.0,633.3333333333334
house,independent,sector 25,7.6,38756.0,2.0,9.0,3,4.0,Relatively New,1961.0,1.0,0.0,1.0,1.0,0.0,1.0,84.0,980.5
flat,signature global solera,sector 107,0.49,8221.0,2.0,2.0,1,8.0,Relatively New,598.0,0.0,0.0,0.0,0.0,1.0,2.0,49.0,298.0
flat,signature global orchard avenue,sector 93,0.4,5479.0,2.0,2.0,No,0.0,Relatively New,730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0
flat,central park flower valley,sector 33,3.3,13750.0,3.0,3.0,3,2.0,Under Construction,2667.0,1.0,1.0,1.0,1.0,0.0,0.0,61.0,800.0
flat,shree vardhman victoria,sector 70,1.75,8974.0,3.0,4.0,2,16.0,Relatively New,1950.0,0.0,1.0,0.0,1.0,0.0,0.0,49.0,650.0
flat,ireo skyon,sector 60,3.6,12816.0,4.0,5.0,3,24.0,Relatively New,2604.0,0.0,1.0,0.0,0.0,0.0,1.0,49.0,702.25
flat,bestech park view residency,sector 2,0.98,6960.0,2.0,2.0,3,0.0,Moderately Old,1281.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,704.0
